Block數量,1000
Thread數量,10
預期模擬次數,100000000
實際模擬次數,99779756
執行時間(ms),2657
元素個數,26
轉盤個數,3
排列組合總數,17576
V-B-K,5684,0.00569655%
V-B-L,5654,0.00566648%
V-B-M,5754,0.0057667%
V-B-N,5674,0.00568652%
V-B-O,5631,0.00564343%
V-B-P,5711,0.00572361%
V-B-Q,5720,0.00573263%
V-B-R,5780,0.00579276%
V-B-S,5785,0.00579777%
V-B-T,5762,0.00577472%
V-B-U,5600,0.00561236%
V-B-V,5633,0.00564543%
V-B-W,5646,0.00565846%
V-B-X,5709,0.0057216%
V-B-Y,5639,0.00565145%
V-B-Z,5569,0.00558129%
V-C-A,5582,0.00559432%
V-C-B,5585,0.00559733%
V-C-C,5654,0.00566648%
V-C-D,5635,0.00564744%
V-C-E,5665,0.0056775%
V-C-F,5671,0.00568352%
V-C-G,5589,0.00560134%
V-C-H,5702,0.00571459%
V-C-I,5615,0.00562739%
V-C-J,5700,0.00571258%
V-C-K,5601,0.00561336%
V-C-L,5795,0.00580779%
V-C-M,5646,0.00565846%
V-C-N,5555,0.00556726%
V-C-O,5767,0.00577973%
V-C-P,5595,0.00560735%
V-C-Q,5736,0.00574866%
V-C-R,5520,0.00553218%
V-C-S,5490,0.00550212%
V-C-T,5580,0.00559232%
V-C-U,5672,0.00568452%
V-C-V,5725,0.00573764%
V-C-W,5663,0.0056755%
V-C-X,5736,0.00574866%
V-C-Y,5641,0.00565345%
V-C-Z,5631,0.00564343%
V-D-A,5787,0.00579977%
V-D-B,5732,0.00574465%
V-D-C,5641,0.00565345%
V-D-D,5805,0.00581781%
V-D-E,5682,0.00569454%
V-D-F,5733,0.00574565%
V-D-G,5528,0.0055402%
V-D-H,5661,0.0056735%
V-D-I,5695,0.00570757%
V-D-J,5613,0.00562539%
V-D-K,5720,0.00573263%
V-D-L,5675,0.00568753%
V-D-M,5671,0.00568352%
V-D-N,5666,0.00567851%
V-D-O,5573,0.0055853%
V-D-P,5797,0.0058098%
V-D-Q,5584,0.00559633%
V-D-R,5725,0.00573764%
V-D-S,5771,0.00578374%
V-D-T,5694,0.00570657%
V-D-U,5635,0.00564744%
V-D-V,5704,0.00571659%
V-D-W,5828,0.00584086%
V-D-X,5633,0.00564543%
V-D-Y,5686,0.00569855%
V-D-Z,5583,0.00559532%
V-E-A,5713,0.00572561%
V-E-B,5583,0.00559532%
V-E-C,5684,0.00569655%
V-E-D,5721,0.00573363%
V-E-E,5643,0.00565546%
V-E-F,5756,0.00576871%
V-E-G,5731,0.00574365%
V-E-H,5592,0.00560434%
V-E-I,5700,0.00571258%
V-E-J,5701,0.00571358%
V-E-K,5748,0.00576069%
V-E-L,5778,0.00579075%
V-E-M,5658,0.00567049%
V-E-N,5674,0.00568652%
V-E-O,5631,0.00564343%
V-E-P,5679,0.00569154%
V-E-Q,5697,0.00570957%
V-E-R,5740,0.00575267%
V-E-S,5490,0.00550212%
V-E-T,5743,0.00575568%
V-E-U,5683,0.00569554%
V-E-V,5701,0.00571358%
V-E-W,5721,0.00573363%
V-E-X,5728,0.00574064%
V-E-Y,5669,0.00568151%
V-E-Z,5734,0.00574666%
V-F-A,5678,0.00569053%
V-F-B,5755,0.0057677%
V-F-C,5774,0.00578674%
V-F-D,5605,0.00561737%
V-F-E,5773,0.00578574%
V-F-F,5800,0.0058128%
V-F-G,5753,0.0057657%
V-F-H,5836,0.00584888%
V-F-I,5694,0.00570657%
V-F-J,5712,0.00572461%
V-F-K,5674,0.00568652%
V-F-L,5541,0.00555323%
V-F-M,5606,0.00561837%
V-F-N,5579,0.00559131%
V-F-O,5767,0.00577973%
V-F-P,5613,0.00562539%
V-F-Q,5832,0.00584487%
V-F-R,5779,0.00579176%
V-F-S,5698,0.00571058%
V-F-T,5624,0.00563641%
V-F-U,5771,0.00578374%
V-F-V,5744,0.00575668%
V-F-W,5720,0.00573263%
V-F-X,5600,0.00561236%
V-F-Y,5573,0.0055853%
V-F-Z,5799,0.0058118%
V-G-A,5777,0.00578975%
V-G-B,5612,0.00562439%
V-G-C,5691,0.00570356%
V-G-D,5584,0.00559633%
V-G-E,5673,0.00568552%
V-G-F,5680,0.00569254%
V-G-G,5740,0.00575267%
V-G-H,5674,0.00568652%
V-G-I,5751,0.00576369%
V-G-J,5714,0.00572661%
V-G-K,5642,0.00565445%
V-G-L,5767,0.00577973%
V-G-M,5603,0.00561537%
V-G-N,5662,0.0056745%
V-G-O,5701,0.00571358%
V-G-P,5662,0.0056745%
V-G-Q,5586,0.00559833%
V-G-R,5674,0.00568652%
V-G-S,5661,0.0056735%
V-G-T,5635,0.00564744%
V-G-U,5577,0.00558931%
V-G-V,5580,0.00559232%
V-G-W,5800,0.0058128%
V-G-X,5662,0.0056745%
V-G-Y,5652,0.00566448%
V-G-Z,5859,0.00587193%
V-H-A,5728,0.00574064%
V-H-B,5567,0.00557929%
V-H-C,5593,0.00560535%
V-H-D,5725,0.00573764%
V-H-E,5623,0.00563541%
V-H-F,5666,0.00567851%
V-H-G,5680,0.00569254%
V-H-H,5732,0.00574465%
V-H-I,5733,0.00574565%
V-H-J,5737,0.00574966%
V-H-K,5620,0.00563241%
V-H-L,5618,0.0056304%
V-H-M,5706,0.00571859%
V-H-N,5695,0.00570757%
V-H-O,5688,0.00570056%
V-H-P,5676,0.00568853%
V-H-Q,5559,0.00557127%
V-H-R,5700,0.00571258%
V-H-S,5614,0.00562639%
V-H-T,5646,0.00565846%
V-H-U,5699,0.00571158%
V-H-V,5629,0.00564142%
V-H-W,5696,0.00570857%
V-H-X,5745,0.00575768%
V-H-Y,5667,0.00567951%
V-H-Z,5778,0.00579075%
V-I-A,5673,0.00568552%
V-I-B,5807,0.00581982%
V-I-C,5621,0.00563341%
V-I-D,5697,0.00570957%
V-I-E,5581,0.00559332%
V-I-F,5597,0.00560935%
V-I-G,5625,0.00563742%
V-I-H,5731,0.00574365%
V-I-I,5707,0.0057196%
V-I-J,5678,0.00569053%
V-I-K,5726,0.00573864%
V-I-L,5679,0.00569154%
V-I-M,5760,0.00577271%
V-I-N,5683,0.00569554%
V-I-O,5706,0.00571859%
V-I-P,5715,0.00572761%
V-I-Q,5737,0.00574966%
V-I-R,5686,0.00569855%
V-I-S,5576,0.00558831%
V-I-T,5620,0.00563241%
V-I-U,5735,0.00574766%
V-I-V,5653,0.00566548%
V-I-W,5700,0.00571258%
V-I-X,5686,0.00569855%
V-I-Y,5667,0.00567951%
V-I-Z,5669,0.00568151%
V-J-A,5500,0.00551214%
V-J-B,5534,0.00554622%
V-J-C,5615,0.00562739%
V-J-D,5573,0.0055853%
V-J-E,5552,0.00556425%
V-J-F,5795,0.00580779%
V-J-G,5757,0.00576971%
V-J-H,5811,0.00582383%
V-J-I,5619,0.0056314%
V-J-J,5722,0.00573463%
V-J-K,5656,0.00566848%
V-J-L,5556,0.00556826%
V-J-M,5592,0.00560434%
V-J-N,5731,0.00574365%
V-J-O,5717,0.00572962%
V-J-P,5701,0.00571358%
V-J-Q,5642,0.00565445%
V-J-R,5739,0.00575167%
V-J-S,5770,0.00578274%
V-J-T,5618,0.0056304%
V-J-U,5739,0.00575167%
V-J-V,5551,0.00556325%
V-J-W,5809,0.00582182%
V-J-X,5621,0.00563341%
V-J-Y,5651,0.00566347%
V-J-Z,5651,0.00566347%
V-K-A,5734,0.00574666%
V-K-B,5643,0.00565546%
V-K-C,5696,0.00570857%
V-K-D,5683,0.00569554%
V-K-E,5649,0.00566147%
V-K-F,5693,0.00570557%
V-K-G,5720,0.00573263%
V-K-H,5505,0.00551715%
V-K-I,5762,0.00577472%
V-K-J,5564,0.00557628%
V-K-K,5634,0.00564644%
V-K-L,5632,0.00564443%
V-K-M,5644,0.00565646%
V-K-N,5650,0.00566247%
V-K-O,5654,0.00566648%
V-K-P,5696,0.00570857%
V-K-Q,5651,0.00566347%
V-K-R,5711,0.00572361%
V-K-S,5768,0.00578073%
V-K-T,5653,0.00566548%
V-K-U,5515,0.00552717%
V-K-V,5591,0.00560334%
V-K-W,5705,0.00571759%
V-K-X,5756,0.00576871%
V-K-Y,5670,0.00568252%
V-K-Z,5596,0.00560835%
V-L-A,5645,0.00565746%
V-L-B,5600,0.00561236%
V-L-C,5775,0.00578775%
V-L-D,5635,0.00564744%
V-L-E,5776,0.00578875%
V-L-F,5605,0.00561737%
V-L-G,5651,0.00566347%
V-L-H,5488,0.00550011%
V-L-I,5685,0.00569755%
V-L-J,5687,0.00569955%
V-L-K,5555,0.00556726%
V-L-L,5603,0.00561537%
V-L-M,5721,0.00573363%
V-L-N,5648,0.00566047%
V-L-O,5638,0.00565044%
V-L-P,5680,0.00569254%
V-L-Q,5705,0.00571759%
V-L-R,5618,0.0056304%
V-L-S,5560,0.00557227%
V-L-T,5570,0.00558229%
V-L-U,5759,0.00577171%
V-L-V,5545,0.00555724%
V-L-W,5772,0.00578474%
V-L-X,5768,0.00578073%
V-L-Y,5696,0.00570857%
V-L-Z,5752,0.0057647%
V-M-A,5665,0.0056775%
V-M-B,5612,0.00562439%
V-M-C,5553,0.00556526%
V-M-D,5683,0.00569554%
V-M-E,5636,0.00564844%
V-M-F,5831,0.00584387%
V-M-G,5659,0.00567149%
V-M-H,5663,0.0056755%
V-M-I,5577,0.00558931%
V-M-J,5751,0.00576369%
V-M-K,5682,0.00569454%
V-M-L,5761,0.00577372%
V-M-M,5770,0.00578274%
V-M-N,5727,0.00573964%
V-M-O,5623,0.00563541%
V-M-P,5815,0.00582784%
V-M-Q,5821,0.00583385%
V-M-R,5802,0.00581481%
V-M-S,5697,0.00570957%
V-M-T,5643,0.00565546%
V-M-U,5664,0.0056765%
V-M-V,5764,0.00577672%
V-M-W,5706,0.00571859%
V-M-X,5711,0.00572361%
V-M-Y,5687,0.00569955%
V-M-Z,5782,0.00579476%
V-N-A,5633,0.00564543%
V-N-B,5646,0.00565846%
V-N-C,5682,0.00569454%
V-N-D,5612,0.00562439%
V-N-E,5670,0.00568252%
V-N-F,5753,0.0057657%
V-N-G,5808,0.00582082%
V-N-H,5760,0.00577271%
V-N-I,5657,0.00566949%
V-N-J,5636,0.00564844%
V-N-K,5598,0.00561036%
V-N-L,5624,0.00563641%
V-N-M,5556,0.00556826%
V-N-N,5737,0.00574966%
V-N-O,5628,0.00564042%
V-N-P,5601,0.00561336%
V-N-Q,5725,0.00573764%
V-N-R,5568,0.00558029%
V-N-S,5741,0.00575367%
V-N-T,5659,0.00567149%
V-N-U,5595,0.00560735%
V-N-V,5790,0.00580278%
V-N-W,5664,0.0056765%
V-N-X,5718,0.00573062%
V-N-Y,5682,0.00569454%
V-N-Z,5723,0.00573563%
V-O-A,5709,0.0057216%
V-O-B,5684,0.00569655%
V-O-C,5605,0.00561737%
V-O-D,5648,0.00566047%
V-O-E,5699,0.00571158%
V-O-F,5510,0.00552216%
V-O-G,5740,0.00575267%
V-O-H,5768,0.00578073%
V-O-I,5710,0.0057226%
V-O-J,5631,0.00564343%
V-O-K,5621,0.00563341%
V-O-L,5744,0.00575668%
V-O-M,5591,0.00560334%
V-O-N,5741,0.00575367%
V-O-O,5581,0.00559332%
V-O-P,5720,0.00573263%
V-O-Q,5738,0.00575067%
V-O-R,5754,0.0057667%
V-O-S,5751,0.00576369%
V-O-T,5741,0.00575367%
V-O-U,5643,0.00565546%
V-O-V,5786,0.00579877%
V-O-W,5833,0.00584588%
V-O-X,5758,0.00577071%
V-O-Y,5553,0.00556526%
V-O-Z,5694,0.00570657%
V-P-A,5661,0.0056735%
V-P-B,5599,0.00561136%
V-P-C,5646,0.00565846%
V-P-D,5630,0.00564243%
V-P-E,5651,0.00566347%
V-P-F,5678,0.00569053%
V-P-G,5537,0.00554922%
V-P-H,5762,0.00577472%
V-P-I,5651,0.00566347%
V-P-J,5693,0.00570557%
V-P-K,5649,0.00566147%
V-P-L,5687,0.00569955%
V-P-M,5535,0.00554722%
V-P-N,5698,0.00571058%
V-P-O,5679,0.00569154%
V-P-P,5711,0.00572361%
V-P-Q,5648,0.00566047%
V-P-R,5584,0.00559633%
V-P-S,5621,0.00563341%
V-P-T,5647,0.00565946%
V-P-U,5671,0.00568352%
V-P-V,5705,0.00571759%
V-P-W,5604,0.00561637%
V-P-X,5508,0.00552016%
V-P-Y,5657,0.00566949%
V-P-Z,5777,0.00578975%
V-Q-A,5657,0.00566949%
V-Q-B,5669,0.00568151%
V-Q-C,5657,0.00566949%
V-Q-D,5683,0.00569554%
V-Q-E,5699,0.00571158%
V-Q-F,5581,0.00559332%
V-Q-G,5621,0.00563341%
V-Q-H,5796,0.00580879%
V-Q-I,5607,0.00561938%
V-Q-J,5713,0.00572561%
V-Q-K,5561,0.00557327%
V-Q-L,5657,0.00566949%
V-Q-M,5644,0.00565646%
V-Q-N,5838,0.00585089%
V-Q-O,5711,0.00572361%
V-Q-P,5610,0.00562238%
V-Q-Q,5569,0.00558129%
V-Q-R,5548,0.00556025%
V-Q-S,5596,0.00560835%
V-Q-T,5690,0.00570256%
V-Q-U,5659,0.00567149%
V-Q-V,5663,0.0056755%
V-Q-W,5617,0.0056294%
V-Q-X,5693,0.00570557%
V-Q-Y,5638,0.00565044%
V-Q-Z,5680,0.00569254%
V-R-A,5632,0.00564443%
V-R-B,5603,0.00561537%
V-R-C,5850,0.00586291%
V-R-D,5674,0.00568652%
V-R-E,5746,0.00575868%
V-R-F,5615,0.00562739%
V-R-G,5632,0.00564443%
V-R-H,5597,0.00560935%
V-R-I,5649,0.00566147%
V-R-J,5618,0.0056304%
V-R-K,5714,0.00572661%
V-R-L,5750,0.00576269%
V-R-M,5692,0.00570456%
V-R-N,5672,0.00568452%
V-R-O,5736,0.00574866%
V-R-P,5658,0.00567049%
V-R-Q,5684,0.00569655%
V-R-R,5713,0.00572561%
V-R-S,5906,0.00591904%
V-R-T,5688,0.00570056%
V-R-U,5708,0.0057206%
V-R-V,5692,0.00570456%
V-R-W,5721,0.00573363%
V-R-X,5621,0.00563341%
V-R-Y,5673,0.00568552%
V-R-Z,5670,0.00568252%
V-S-A,5607,0.00561938%
V-S-B,5805,0.00581781%
V-S-C,5689,0.00570156%
V-S-D,5621,0.00563341%
V-S-E,5669,0.00568151%
V-S-F,5599,0.00561136%
V-S-G,5682,0.00569454%
V-S-H,5751,0.00576369%
V-S-I,5666,0.00567851%
V-S-J,5685,0.00569755%
V-S-K,5721,0.00573363%
V-S-L,5643,0.00565546%
V-S-M,5636,0.00564844%
V-S-N,5679,0.00569154%
V-S-O,5730,0.00574265%
V-S-P,5663,0.0056755%
V-S-Q,5611,0.00562339%
V-S-R,5593,0.00560535%
V-S-S,5651,0.00566347%
V-S-T,5564,0.00557628%
V-S-U,5674,0.00568652%
V-S-V,5572,0.0055843%
V-S-W,5675,0.00568753%
V-S-X,5791,0.00580378%
V-S-Y,5870,0.00588296%
V-S-Z,5822,0.00583485%
V-T-A,5693,0.00570557%
V-T-B,5732,0.00574465%
V-T-C,5768,0.00578073%
V-T-D,5738,0.00575067%
V-T-E,5613,0.00562539%
V-T-F,5659,0.00567149%
V-T-G,5734,0.00574666%
V-T-H,5684,0.00569655%
V-T-I,5810,0.00582282%
V-T-J,5686,0.00569855%
V-T-K,5667,0.00567951%
V-T-L,5780,0.00579276%
V-T-M,5829,0.00584187%
V-T-N,5560,0.00557227%
V-T-O,5725,0.00573764%
V-T-P,5681,0.00569354%
V-T-Q,5594,0.00560635%
V-T-R,5725,0.00573764%
V-T-S,5707,0.0057196%
V-T-T,5680,0.00569254%
V-T-U,5651,0.00566347%
V-T-V,5610,0.00562238%
V-T-W,5520,0.00553218%
V-T-X,5811,0.00582383%
V-T-Y,5784,0.00579677%
V-T-Z,5702,0.00571459%
V-U-A,5668,0.00568051%
V-U-B,5602,0.00561437%
V-U-C,5706,0.00571859%
V-U-D,5900,0.00591302%
V-U-E,5721,0.00573363%
V-U-F,5689,0.00570156%
V-U-G,5682,0.00569454%
V-U-H,5686,0.00569855%
V-U-I,5758,0.00577071%
V-U-J,5646,0.00565846%
V-U-K,5729,0.00574165%
V-U-L,5650,0.00566247%
V-U-M,5668,0.00568051%
V-U-N,5712,0.00572461%
V-U-O,5751,0.00576369%
V-U-P,5652,0.00566448%
V-U-Q,5680,0.00569254%
V-U-R,5588,0.00560033%
V-U-S,5619,0.0056314%
V-U-T,5693,0.00570557%
V-U-U,5710,0.0057226%
V-U-V,5769,0.00578173%
V-U-W,5704,0.00571659%
V-U-X,5595,0.00560735%
V-U-Y,5744,0.00575668%
V-U-Z,5787,0.00579977%
V-V-A,5607,0.00561938%
V-V-B,5631,0.00564343%
V-V-C,5509,0.00552116%
V-V-D,5727,0.00573964%
V-V-E,5646,0.00565846%
V-V-F,5657,0.00566949%
V-V-G,5735,0.00574766%
V-V-H,5649,0.00566147%
V-V-I,5686,0.00569855%
V-V-J,5717,0.00572962%
V-V-K,5650,0.00566247%
V-V-L,5702,0.00571459%
V-V-M,5699,0.00571158%
V-V-N,5705,0.00571759%
V-V-O,5613,0.00562539%
V-V-P,5682,0.00569454%
V-V-Q,5727,0.00573964%
V-V-R,5652,0.00566448%
V-V-S,5621,0.00563341%
V-V-T,5707,0.0057196%
V-V-U,5589,0.00560134%
V-V-V,5624,0.00563641%
V-V-W,5739,0.00575167%
V-V-X,5786,0.00579877%
V-V-Y,5678,0.00569053%
V-V-Z,5845,0.0058579%
V-W-A,5727,0.00573964%
V-W-B,5652,0.00566448%
V-W-C,5599,0.00561136%
V-W-D,5691,0.00570356%
V-W-E,5703,0.00571559%
V-W-F,5580,0.00559232%
V-W-G,5783,0.00579576%
V-W-H,5683,0.00569554%
V-W-I,5688,0.00570056%
V-W-J,5736,0.00574866%
V-W-K,5760,0.00577271%
V-W-L,5566,0.00557829%
V-W-M,5686,0.00569855%
V-W-N,5634,0.00564644%
V-W-O,5719,0.00573162%
V-W-P,5597,0.00560935%
V-W-Q,5791,0.00580378%
V-W-R,5650,0.00566247%
V-W-S,5808,0.00582082%
V-W-T,5693,0.00570557%
V-W-U,5731,0.00574365%
V-W-V,5831,0.00584387%
V-W-W,5747,0.00575969%
V-W-X,5650,0.00566247%
V-W-Y,5778,0.00579075%
V-W-Z,5680,0.00569254%
V-X-A,5628,0.00564042%
V-X-B,5652,0.00566448%
V-X-C,5635,0.00564744%
V-X-D,5696,0.00570857%
V-X-E,5792,0.00580478%
V-X-F,5617,0.0056294%
V-X-G,5679,0.00569154%
V-X-H,5628,0.00564042%
V-X-I,5765,0.00577773%
V-X-J,5651,0.00566347%
V-X-K,5636,0.00564844%
V-X-L,5598,0.00561036%
V-X-M,5570,0.00558229%
V-X-N,5733,0.00574565%
V-X-O,5705,0.00571759%
V-X-P,5748,0.00576069%
V-X-Q,5685,0.00569755%
V-X-R,5655,0.00566748%
V-X-S,5676,0.00568853%
V-X-T,5650,0.00566247%
V-X-U,5571,0.0055833%
V-X-V,5692,0.00570456%
V-X-W,5656,0.00566848%
V-X-X,5727,0.00573964%
V-X-Y,5815,0.00582784%
V-X-Z,5691,0.00570356%
V-Y-A,5658,0.00567049%
V-Y-B,5659,0.00567149%
V-Y-C,5694,0.00570657%
V-Y-D,5581,0.00559332%
V-Y-E,5805,0.00581781%
V-Y-F,5663,0.0056755%
V-Y-G,5631,0.00564343%
V-Y-H,5826,0.00583886%
V-Y-I,5753,0.0057657%
V-Y-J,5704,0.00571659%
V-Y-K,5596,0.00560835%
V-Y-L,5687,0.00569955%
V-Y-M,5636,0.00564844%
V-Y-N,5531,0.00554321%
V-Y-O,5681,0.00569354%
V-Y-P,5623,0.00563541%
V-Y-Q,5658,0.00567049%
V-Y-R,5790,0.00580278%
V-Y-S,5666,0.00567851%
V-Y-T,5650,0.00566247%
V-Y-U,5577,0.00558931%
V-Y-V,5651,0.00566347%
V-Y-W,5648,0.00566047%
V-Y-X,5643,0.00565546%
V-Y-Y,5816,0.00582884%
V-Y-Z,5604,0.00561637%
V-Z-A,5750,0.00576269%
V-Z-B,5794,0.00580679%
V-Z-C,5623,0.00563541%
V-Z-D,5587,0.00559933%
V-Z-E,5672,0.00568452%
V-Z-F,5779,0.00579176%
V-Z-G,5845,0.0058579%
V-Z-H,5626,0.00563842%
V-Z-I,5719,0.00573162%
V-Z-J,5669,0.00568151%
V-Z-K,5634,0.00564644%
V-Z-L,5600,0.00561236%
V-Z-M,5691,0.00570356%
V-Z-N,5841,0.00585389%
V-Z-O,5767,0.00577973%
V-Z-P,5584,0.00559633%
V-Z-Q,5622,0.00563441%
V-Z-R,5632,0.00564443%
V-Z-S,5726,0.00573864%
V-Z-T,5712,0.00572461%
V-Z-U,5676,0.00568853%
V-Z-V,5597,0.00560935%
V-Z-W,5580,0.00559232%
V-Z-X,5554,0.00556626%
V-Z-Y,5645,0.00565746%
V-Z-Z,5720,0.00573263%
W-A-A,5615,0.00562739%
W-A-B,5820,0.00583285%
W-A-C,5740,0.00575267%
W-A-D,5602,0.00561437%
W-A-E,5620,0.00563241%
W-A-F,5558,0.00557027%
W-A-G,5820,0.00583285%
W-A-H,5697,0.00570957%
W-A-I,5792,0.00580478%
W-A-J,5761,0.00577372%
W-A-K,5634,0.00564644%
W-A-L,5628,0.00564042%
W-A-M,5683,0.00569554%
W-A-N,5646,0.00565846%
W-A-O,5691,0.00570356%
W-A-P,5655,0.00566748%
W-A-Q,5575,0.00558731%
W-A-R,5695,0.00570757%
W-A-S,5613,0.00562539%
W-A-T,5627,0.00563942%
W-A-U,5717,0.00572962%
W-A-V,5597,0.00560935%
W-A-W,5654,0.00566648%
W-A-X,5624,0.00563641%
W-A-Y,5689,0.00570156%
W-A-Z,5689,0.00570156%
W-B-A,5617,0.0056294%
W-B-B,5518,0.00553018%
W-B-C,5558,0.00557027%
W-B-D,5714,0.00572661%
W-B-E,5699,0.00571158%
W-B-F,5765,0.00577773%
W-B-G,5523,0.00553519%
W-B-H,5679,0.00569154%
W-B-I,5759,0.00577171%
W-B-J,5762,0.00577472%
W-B-K,5669,0.00568151%
W-B-L,5674,0.00568652%
W-B-M,5683,0.00569554%
W-B-N,5668,0.00568051%
W-B-O,5807,0.00581982%
W-B-P,5696,0.00570857%
W-B-Q,5717,0.00572962%
W-B-R,5664,0.0056765%
W-B-S,5583,0.00559532%
W-B-T,5699,0.00571158%
W-B-U,5720,0.00573263%
W-B-V,5816,0.00582884%
W-B-W,5700,0.00571258%
W-B-X,5666,0.00567851%
W-B-Y,5780,0.00579276%
W-B-Z,5656,0.00566848%
W-C-A,5616,0.0056284%
W-C-B,5604,0.00561637%
W-C-C,5724,0.00573663%
W-C-D,5652,0.00566448%
W-C-E,5735,0.00574766%
W-C-F,5637,0.00564944%
W-C-G,5694,0.00570657%
W-C-H,5738,0.00575067%
W-C-I,5725,0.00573764%
W-C-J,5585,0.00559733%
W-C-K,5660,0.00567249%
W-C-L,5711,0.00572361%
W-C-M,5804,0.00581681%
W-C-N,5783,0.00579576%
W-C-O,5731,0.00574365%
W-C-P,5661,0.0056735%
W-C-Q,5695,0.00570757%
W-C-R,5575,0.00558731%
W-C-S,5647,0.00565946%
W-C-T,5623,0.00563541%
W-C-U,5704,0.00571659%
W-C-V,5758,0.00577071%
W-C-W,5645,0.00565746%
W-C-X,5611,0.00562339%
W-C-Y,5588,0.00560033%
W-C-Z,5860,0.00587293%
W-D-A,5675,0.00568753%
W-D-B,5739,0.00575167%
W-D-C,5679,0.00569154%
W-D-D,5651,0.00566347%
W-D-E,5850,0.00586291%
W-D-F,5627,0.00563942%
W-D-G,5694,0.00570657%
W-D-H,5672,0.00568452%
W-D-I,5653,0.00566548%
W-D-J,5701,0.00571358%
W-D-K,5679,0.00569154%
W-D-L,5679,0.00569154%
W-D-M,5732,0.00574465%
W-D-N,5712,0.00572461%
W-D-O,5774,0.00578674%
W-D-P,5503,0.00551515%
W-D-Q,5792,0.00580478%
W-D-R,5636,0.00564844%
W-D-S,5703,0.00571559%
W-D-T,5665,0.0056775%
W-D-U,5626,0.00563842%
W-D-V,5867,0.00587995%
W-D-W,5770,0.00578274%
W-D-X,5538,0.00555022%
W-D-Y,5597,0.00560935%
W-D-Z,5708,0.0057206%
W-E-A,5723,0.00573563%
W-E-B,5708,0.0057206%
W-E-C,5716,0.00572862%
W-E-D,5710,0.0057226%
W-E-E,5674,0.00568652%
W-E-F,5717,0.00572962%
W-E-G,5659,0.00567149%
W-E-H,5743,0.00575568%
W-E-I,5688,0.00570056%
W-E-J,5696,0.00570857%
W-E-K,5636,0.00564844%
W-E-L,5609,0.00562138%
W-E-M,5636,0.00564844%
W-E-N,5688,0.00570056%
W-E-O,5723,0.00573563%
W-E-P,5742,0.00575467%
W-E-Q,5743,0.00575568%
W-E-R,5744,0.00575668%
W-E-S,5674,0.00568652%
W-E-T,5569,0.00558129%
W-E-U,5674,0.00568652%
W-E-V,5580,0.00559232%
W-E-W,5742,0.00575467%
W-E-X,5729,0.00574165%
W-E-Y,5765,0.00577773%
W-E-Z,5600,0.00561236%
W-F-A,5745,0.00575768%
W-F-B,5646,0.00565846%
W-F-C,5582,0.00559432%
W-F-D,5632,0.00564443%
W-F-E,5638,0.00565044%
W-F-F,5622,0.00563441%
W-F-G,5701,0.00571358%
W-F-H,5725,0.00573764%
W-F-I,5732,0.00574465%
W-F-J,5497,0.00550913%
W-F-K,5622,0.00563441%
W-F-L,5737,0.00574966%
W-F-M,5657,0.00566949%
W-F-N,5789,0.00580178%
W-F-O,5646,0.00565846%
W-F-P,5704,0.00571659%
W-F-Q,5774,0.00578674%
W-F-R,5610,0.00562238%
W-F-S,5661,0.0056735%
W-F-T,5660,0.00567249%
W-F-U,5703,0.00571559%
W-F-V,5573,0.0055853%
W-F-W,5674,0.00568652%
W-F-X,5644,0.00565646%
W-F-Y,5762,0.00577472%
W-F-Z,5640,0.00565245%
W-G-A,5881,0.00589398%
W-G-B,5642,0.00565445%
W-G-C,5752,0.0057647%
W-G-D,5828,0.00584086%
W-G-E,5719,0.00573162%
W-G-F,5664,0.0056765%
W-G-G,5671,0.00568352%
W-G-H,5674,0.00568652%
W-G-I,5805,0.00581781%
W-G-J,5598,0.00561036%
W-G-K,5643,0.00565546%
W-G-L,5744,0.00575668%
W-G-M,5649,0.00566147%
W-G-N,5748,0.00576069%
W-G-O,5624,0.00563641%
W-G-P,5644,0.00565646%
W-G-Q,5596,0.00560835%
W-G-R,5727,0.00573964%
W-G-S,5710,0.0057226%
W-G-T,5768,0.00578073%
W-G-U,5756,0.00576871%
W-G-V,5654,0.00566648%
W-G-W,5659,0.00567149%
W-G-X,5670,0.00568252%
W-G-Y,5873,0.00588596%
W-G-Z,5577,0.00558931%
W-H-A,5653,0.00566548%
W-H-B,5711,0.00572361%
W-H-C,5715,0.00572761%
W-H-D,5677,0.00568953%
W-H-E,5692,0.00570456%
W-H-F,5653,0.00566548%
W-H-G,5544,0.00555624%
W-H-H,5615,0.00562739%
W-H-I,5761,0.00577372%
W-H-J,5707,0.0057196%
W-H-K,5726,0.00573864%
W-H-L,5609,0.00562138%
W-H-M,5628,0.00564042%
W-H-N,5680,0.00569254%
W-H-O,5776,0.00578875%
W-H-P,5801,0.0058138%
W-H-Q,5779,0.00579176%
W-H-R,5829,0.00584187%
W-H-S,5592,0.00560434%
W-H-T,5669,0.00568151%
W-H-U,5612,0.00562439%
W-H-V,5671,0.00568352%
W-H-W,5688,0.00570056%
W-H-X,5778,0.00579075%
W-H-Y,5613,0.00562539%
W-H-Z,5636,0.00564844%
W-I-A,5676,0.00568853%
W-I-B,5531,0.00554321%
W-I-C,5700,0.00571258%
W-I-D,5797,0.0058098%
W-I-E,5628,0.00564042%
W-I-F,5600,0.00561236%
W-I-G,5668,0.00568051%
W-I-H,5618,0.0056304%
W-I-I,5596,0.00560835%
W-I-J,5599,0.00561136%
W-I-K,5745,0.00575768%
